,ILP,IQP,PIQP
0,0.9002971643121267,0.9272976176339984,0.8904631615307793
1,1.2829861775784523,1.3807465290862022,1.313486848728737
2,1.8497584565965772,1.9012181630318334,1.960384110813295
3,2.277049205225938,2.3090068320962938,2.5288387189260773
4,2.6600528135119625,2.7386382417570787,2.9391016831280625
5,2.834444468512129,2.913029896757246,3.188232618842588
6,3.220662038909149,3.2992474671542653,3.547346262458801
7,3.513343028291476,3.591928456536592,3.795197246014954
8,3.8722499070384977,3.9508353352836147,4.102807902910003
9,3.94811890136308,4.102404253760357,4.171953799025463
10,4.163371177113299,4.318217075919175,4.41040316556069
11,4.383374398119731,4.510834141874452,4.559263506026403
12,4.778780900753423,4.947700481021753,5.083378476685451
13,4.916534392651872,5.0582707699953655,5.153052356792921
14,5.457210973663421,5.611077534896321,5.762027416889151
15,5.952165887921484,6.0747462974791535,6.074433842189362
16,6.070502098955378,6.187921705870845,6.236112997034636
17,6.298670960767312,6.490017097249146,6.422329544374725
18,6.385316053369562,6.636345441291179,6.631370035863343
19,6.600227500224458,6.751985385665702,6.698366142997427
20,6.693625958116445,6.874744136481276,6.766352599724103
21,7.091482600873739,7.198203555648101,7.060588446786688
22,7.688613003603249,7.643794302381844,7.491582021402776
23,7.988083993045092,7.938794928953821,7.837520099376626
24,8.127791866373448,8.168098326313906,8.141781057020465
25,8.23044750660097,8.331807329723834,8.17320347944295
26,8.673513043464245,8.609148923149728,8.45642482457521
27,9.033950909421206,8.916875129727305,8.853054234602125
28,9.263910443024203,9.146834663330305,9.084369910673065
29,9.36457858487964,9.315829745381956,9.29216460102216
30,9.593668394310887,9.500530181375574,9.477684735673057
31,9.86339840627486,9.818275243827072,9.511014758348892
32,10.001148476647804,10.089956514487717,9.87649884006827
33,9.996182107009895,10.0867022970256,9.781317946308402
34,10.110081348695584,10.317340828148073,10.151151577854309
35,10.51315019209197,10.376319342421308,10.369870441395472
36,11.046788703205138,10.990816896313945,10.874507135406416
37,11.403926232966883,11.439225544750235,11.429501981480357
38,11.656808485482443,11.587096607705295,11.663650352137491
39,11.819356944677487,11.836220708262053,11.794098483738042
40,12.072709476834696,12.149488341579218,12.201826221292167
41,12.247990416059409,12.142188875391057,12.110952685231815
42,12.570924305701023,12.657063140668548,12.632180649870802
43,12.915258616029998,12.82904156158541,13.192134145280708
44,13.349470421352848,13.288032244810585,13.55293747684824
45,13.724938151245468,13.5711842439195,13.995552038218326
46,14.059203507504122,14.09846648588,14.500703943162728
47,14.231024435124365,14.635017060762175,14.976014824447612
48,14.842981386458826,14.785527058325618,15.176292532494395
49,15.017646238396631,14.921508690513807,15.367874641150532
50,15.169810002099188,14.851619166918322,15.39597393200056
51,15.362957915879736,15.171706052636736,15.538116591197376
52,15.409740677883576,15.232253561712287,15.89324623957351
53,15.509710212277511,15.315955907642735,15.794006805558126
54,15.838081392267195,15.656960396583354,15.99088084345522
55,15.919405389905872,15.969681368358778,16.300728964837
56,16.223677933748384,16.085414507065547,16.512960025439373
57,16.43974883723427,16.305615256545476,16.402523951093148
58,16.56622576655412,16.766142476393725,16.979431659247194
59,17.1027745592176,16.824114009485996,17.2550121808783
60,17.48898362538758,17.127409524986234,17.361089881931996
61,17.965324382671344,17.82037782140896,18.2974250245615
62,17.731056991806433,17.880011630735805,18.050997906938647
63,17.755222975576917,18.11363964049168,18.660848262116527
64,17.930266844022707,18.367285255485733,18.941544353198644
65,18.086243215116514,18.38095648604223,18.660688838115245
66,18.46249195199372,18.622364675962533,19.139719438473552
67,18.550456819430583,18.69709188045916,19.50698950864707
68,18.48451623590034,18.55688408745662,19.2243280797259
69,18.921137476544125,18.568099569594775,19.46168774929159
70,19.13629758562515,18.82353473804752,19.893208125936177
71,19.53771408428489,19.147666346552963,19.62349910309021
72,19.347904747491874,19.596725604734008,20.00983231826624
73,19.34347742787698,19.377866525291694,19.83851160491097
74,19.55943820661592,19.602196790903186,20.0843846678904
75,20.173873036904546,19.93730509719551,20.01454226539543
76,20.314585377149623,20.043836032433425,20.21068139633237
77,20.499584964822336,20.23254208334739,20.55327634488644
78,20.663110462145266,20.476399984269122,20.746319630870264
79,20.85041883760877,20.970343968699233,21.427369743645475
80,20.935404324114465,21.59379638029269,21.781561797265603
81,20.853192671807385,21.218913320560823,21.390574209640462
82,21.54812575641289,21.355234367983446,21.900853109780883
83,21.18270783650296,21.53912154674149,21.940972305914663
84,20.759062485820245,21.964070442765188,22.16130726429588
85,21.30884100879007,22.19142188412941,22.42531919863492
86,21.410891794575125,21.69219662362466,21.855053794229327
87,21.38327696464442,21.711460345982513,21.915370014521763
88,21.43721114828108,22.14884455749722,22.54172831845636
89,21.58031235434853,22.333289228533392,22.70567845391016
90,21.855072444608552,22.323472569528242,22.616694822799293
91,21.73282572211736,22.40395498712227,23.033282733440576
92,22.02164727687082,22.644745164800238,23.062876184597428
93,22.472170812871877,22.88841913330237,23.33319503335924
94,22.98516423215821,22.980670642139582,23.18439809669407
95,22.63829586671395,23.11825882177691,24.091785420540536
96,22.71888715541044,23.633015088773686,23.8425229236573
97,23.121615675226742,23.594788943355166,23.78970429880665
98,22.590926040343795,23.565250690850092,23.76452587747984
99,22.87948530415667,23.445167654430378,24.04641858448761
100,23.21746134633425,23.94628607861159,23.85795302840224
101,23.647659065978623,23.98078124054765,23.867049998552545
102,24.020356410298643,23.511301424560465,23.349774264453885
103,23.875923934669867,23.926481333508647,23.96216846702645
104,23.73317469284876,23.827599246888237,24.115727338247552
105,23.676452185736807,23.73667033437632,23.717771141575145
106,23.703664119550982,23.87209483962837,23.45592821935468
107,23.857758143930717,24.08418572327713,23.229505033171165
108,24.01758226743549,24.07714986531102,23.999091402802087
109,23.771276778027957,23.89384725458864,24.38133694479717
110,23.64218195573269,24.235515883497975,24.511835460939405
111,23.746550351407603,24.626362842391774,24.826236350277394
112,24.9925867770348,24.350484707853507,24.568040237826697
113,25.298383736807203,24.931502957024207,24.44273602924612
114,25.052006873203435,24.454533160481645,24.61982557127121
115,25.17246888824321,24.87520251915627,25.13628137879473
116,25.02081453562442,24.797979079756466,24.6820710560092
117,25.4229838598121,25.094245130340106,25.03020355540786
